Time_hours,Power_kW
0.0,10
0.08333333333333333,10
0.16666666666666666,10
0.25,10
0.3333333333333333,10
0.4166666666666667,10
0.5,10
0.5833333333333334,10
0.6666666666666666,10
0.75,10
0.8333333333333334,10
0.9166666666666666,10
1.0,10
1.0833333333333333,10
1.1666666666666667,10
1.25,10
1.3333333333333333,10
1.4166666666666667,10
1.5,10
1.5833333333333333,10
1.6666666666666667,10
1.75,10
1.8333333333333333,10
1.9166666666666667,10
2.0,10
2.0833333333333335,10
2.1666666666666665,10
2.25,10
2.3333333333333335,10
2.4166666666666665,10
2.5,10
2.5833333333333335,10
2.6666666666666665,10
2.75,10
2.8333333333333335,10
2.9166666666666665,10
3.0,10
3.0833333333333335,10
3.1666666666666665,10
3.25,10
3.3333333333333335,10
3.4166666666666665,10
3.5,10
3.5833333333333335,10
3.6666666666666665,10
3.75,10
3.8333333333333335,10
3.9166666666666665,10
4.0,10
4.083333333333333,10
4.166666666666667,10
4.25,10
4.333333333333333,10
4.416666666666667,10
4.5,10
4.583333333333333,10
4.666666666666667,10
4.75,10
4.833333333333333,10
4.916666666666667,10
5.0,10
5.083333333333333,10
5.166666666666667,10
5.25,10
5.333333333333333,10
5.416666666666667,10
5.5,10
5.583333333333333,10
5.666666666666667,10
5.75,10
5.833333333333333,10
5.916666666666667,10
6.0,10
6.083333333333333,10
6.166666666666667,10
6.25,10
6.333333333333333,10
6.416666666666667,10
6.5,10
6.583333333333333,10
6.666666666666667,10
6.75,10
6.833333333333333,10
6.916666666666667,10
7.0,10
7.083333333333333,10
7.166666666666667,10
7.25,10
7.333333333333333,10
7.416666666666667,10
7.5,10
7.583333333333333,10
7.666666666666667,10
7.75,10
7.833333333333333,10
7.916666666666667,10
8.0,50
8.083333333333334,50
8.166666666666666,50
8.25,50
8.333333333333334,50
8.416666666666666,50
8.5,50
8.583333333333334,50
8.666666666666666,50
8.75,50
8.833333333333334,50
8.916666666666666,50
9.0,50
9.083333333333334,50
9.166666666666666,50
9.25,50
9.333333333333334,50
9.416666666666666,50
9.5,50
9.583333333333334,50
9.666666666666666,50
9.75,50
9.833333333333334,50
9.916666666666666,50
10.0,50
10.083333333333334,50
10.166666666666666,50
10.25,50
10.333333333333334,50
10.416666666666666,50
10.5,50
10.583333333333334,50
10.666666666666666,50
10.75,50
10.833333333333334,50
10.916666666666666,50
11.0,50
11.083333333333334,50
11.166666666666666,50
11.25,50
11.333333333333334,50
11.416666666666666,50
11.5,50
11.583333333333334,50
11.666666666666666,50
11.75,50
11.833333333333334,50
11.916666666666666,50
12.0,50
12.083333333333334,50
12.166666666666666,50
12.25,50
12.333333333333334,50
12.416666666666666,50
12.5,50
12.583333333333334,50
12.666666666666666,50
12.75,50
12.833333333333334,50
12.916666666666666,50
13.0,50
13.083333333333334,50
13.166666666666666,50
13.25,50
13.333333333333334,50
13.416666666666666,50
13.5,50
13.583333333333334,50
13.666666666666666,50
13.75,50
13.833333333333334,50
13.916666666666666,50
14.0,50
14.083333333333334,50
14.166666666666666,50
14.25,50
14.333333333333334,50
14.416666666666666,50
14.5,50
14.583333333333334,50
14.666666666666666,50
14.75,50
14.833333333333334,50
14.916666666666666,50
15.0,50
15.083333333333334,50
15.166666666666666,50
15.25,50
15.333333333333334,50
15.416666666666666,50
15.5,50
15.583333333333334,50
15.666666666666666,50
15.75,50
15.833333333333334,50
15.916666666666666,50
16.0,50
16.083333333333332,50
16.166666666666668,50
16.25,50
16.333333333333332,50
16.416666666666668,50
16.5,50
16.583333333333332,50
16.666666666666668,50
16.75,50
16.833333333333332,50
16.916666666666668,50
17.0,10
17.083333333333332,10
17.166666666666668,10
17.25,10
17.333333333333332,10
17.416666666666668,10
17.5,10
17.583333333333332,10
17.666666666666668,10
17.75,10
17.833333333333332,10
17.916666666666668,10
18.0,10
18.083333333333332,10
18.166666666666668,10
18.25,10
18.333333333333332,10
18.416666666666668,10
18.5,10
18.583333333333332,10
18.666666666666668,10
18.75,10
18.833333333333332,10
18.916666666666668,10
19.0,10
19.083333333333332,10
19.166666666666668,10
19.25,10
19.333333333333332,10
19.416666666666668,10
